Capability,Service,ArchitecturePhase,Required,Status,EvidenceType,Evidence,AdminDependency,LicenseDependency,Risk,RecommendedAction,Notes
SharePoint Online,SharePoint,EA-3,Yes,NOT_VERIFIED,Architecture Requirement,Site URL placeholder [tenant].sharepoint.com per sharepoint-site-design.md,Site creation requires tenant admin policy,Included in M365 Education A3/A5 (assumed),CRITICAL — foundation storage layer,Confirm tenant URL and site creation capability with M365 admin,Standard M365 Education capability; institutional policy unknown
SharePoint Site Creation,SharePoint,EA-3,Yes,NOT_VERIFIED,Standard Capability,Users may self-create or require admin provisioning,Yes — site admin or delegated admin,No,BLOCKING without confirmation,Determine self-service vs admin-provisioned site creation,Hub site features may require additional admin action
Document Library Creation,SharePoint,EA-3,Yes,NOT_VERIFIED,Architecture Requirement,6 libraries defined in sharepoint-site-design.md; no tenant evidence,Yes — site admin rights,No,Low — standard SPO capability assumed,Verify library creation capability after tenant evidence collected,Max 255 columns per library; we use 22
Custom Site Columns,SharePoint,EA-3,Yes,NOT_VERIFIED,Architecture Requirement,22 columns defined; 11 indexed per registry-list-schema.md; no tenant evidence,No,No,Low — standard capability assumed,Verify custom column creation after tenant evidence collected,Max 20 indexes per list
Content Types,SharePoint,EA-3,Yes,NOT_VERIFIED,Architecture Requirement,4 content types defined in content-types.md; no tenant evidence,Yes — site admin to publish CTs,No,Low — standard capability assumed,Verify content type management after tenant evidence collected,Requires publishing to libraries
Managed Metadata / Term Store,SharePoint,EA-3,Yes,NOT_VERIFIED,Standard Capability,Tags column uses RAE-Tags term set per library-schema.md,Yes — Term Store admin required,No,MEDIUM — Tags column blocked without admin,Request RAE-Tags term set creation from tenant admin,Term Store admin is distinct from site admin
Choice Columns,SharePoint / Lists,EA-3/EA-4,Yes,NOT_VERIFIED,Architecture Requirement,"Status (7 values), Visibility (4 values) per registry-list-schema.md; no tenant evidence",No,No,Low,Verify choice column creation after tenant evidence collected,256KB limit per column settings
Person or Group Column,SharePoint / Lists,EA-3/EA-4,Yes,NOT_VERIFIED,Architecture Requirement,Owner column per registry-owner-rules.md; no tenant evidence,No,No,Low — requires valid M365 identities,Verify Person/Group column type after tenant evidence collected,TBD placeholder not supported in Lists
Column Indexing,SharePoint / Lists,EA-3/EA-4,Yes,NOT_VERIFIED,Architecture Requirement,11 columns indexed per registry-list-schema.md; no tenant evidence,No,No,Low,Verify column indexing capability after tenant evidence collected,Max 20 indexes per list
Microsoft Lists,Microsoft Lists,EA-4,Yes,NOT_VERIFIED,Architecture Requirement,RAE Document Registry requires Microsoft Lists per registry-list-schema.md; no tenant evidence exists,Yes — site creation admin,No,MEDIUM — Lists availability unverified,Verify Lists creation capability in MJU tenant after SharePoint site provisioned,No tenant evidence — standard capability assumed for design only
List Column Validation,Microsoft Lists,EA-4,Yes,NOT_VERIFIED,Architecture Requirement,Validation rules defined per registry-validation-rules.md; no tenant evidence for Lists,No,No,Low — validation gaps documented,Verify Lists column validation capability after tenant evidence collected,Cross-field validation requires Power Automate
Unique Column Constraint,Microsoft Lists,EA-4,Yes,NOT_VERIFIED,Architecture Requirement,DocumentID unique constraint per registry-list-schema.md; no tenant evidence for Lists,No,No,Low,Verify unique constraint capability after tenant evidence collected,Built-in Lists capability assumed for design only
List Views,Microsoft Lists,EA-4,Yes,NOT_VERIFIED,Architecture Requirement,10 views designed per registry-views.md; no tenant evidence for Lists,No,No,Low,Verify Lists view creation capability after tenant evidence collected,View capability assumed for design only
External / Anonymous Sharing,SharePoint,EA-3/EA-7,Yes,CONFIRMED,Tenant Evidence (Batch 1),Anyone (anonymous) link is DEFAULT in Share dialog; 4 link types visible; Password + Expiration available,No — visible in Share dialog,No,Low — Anyone links confirmed enabled; governance controls needed,Proceed with public portal architecture; implement DLP and expiration policy,Anyone links support EA-7 public document serving
Power Automate (Standard),Power Automate,EA-5,Yes,CONFIRMED,Tenant Evidence (Batch 2),Power Automate portal loaded; authenticated session; all cloud flow types visible; Std connectors confirmed,No — unless DLP blocked,No,Low — Standard connectors confirmed,EA-5 design-ready; proceed to implementation after EA-3/EA-4 provisioning,M365 Education tenant; Default environment; 0 other environments
Power Automate SharePoint Connector,Power Automate,EA-5,Yes,CONFIRMED,Tenant Evidence (Batch 2),SharePoint connector page fully accessible; 12 triggers observed; no Premium badge; List operations available,No — Standard connector,No,Low — Standard connector confirmed,Proceed with SharePoint connector for EA-5 workflows; Lists ops through same connector,WF-01 triggers (When item created; When file created) confirmed
Power Automate Lists Connector,Power Automate,EA-5,Yes,CONFIRMED,Tenant Evidence (Batch 2),Lists operations exposed through SharePoint connector; Create/Get/Update item; When item created trigger works for Lists,No — Standard connector,No,Low — Lists ops available via SPO connector,Use SharePoint connector for Lists operations; separate Lists connector not required,SharePoint connector handles list context via site/list path
Power Automate Approvals Connector,Power Automate,EA-5,Yes,CONFIRMED,Tenant Evidence (Batch 2),Standard approvals connector page loaded; no Premium badge; templates include Create an approval,No — Standard connector,No,Low — Standard approvals confirmed,Proceed with Standard Approvals for WF-02 Approval Lifecycle,Start and wait for an approval action available
Power Automate Teams Connector,Power Automate,EA-5,Yes,CONFIRMED,Tenant Evidence (Batch 2),Microsoft Teams connector fully accessible; 9 triggers; Post message and Adaptive Card templates visible,No — Standard connector,No,Low — Standard connector confirmed,Proceed with Teams connector for WF-04 notifications,Post message to Teams for governance alerts confirmed
Scheduled Cloud Flows,Power Automate,EA-5,Yes,CONFIRMED,Tenant Evidence (Batch 2),Scheduled cloud flow button visible on Create page alongside Automated and Instant cloud flow,No — user permission,No,Low — Scheduled flow confirmed,Proceed with scheduled flows for WF-03/04/05,Scheduled trigger verified
HTTP Connector,Power Automate,EA-7,Yes,PREMIUM,Tenant Evidence (Batch 2),HTTP with Entra ID variants marked Premium in connector catalog; basic HTTP is a built-in Premium feature,Yes — DLP policy,Yes — Premium license required for HTTP,Low — Premium dependency avoided; Standard alternatives available,Avoid HTTP connector; WF-05 uses SharePoint file output + GitHub Actions for sync,Standard architecture maintained; no Premium required for EA-5
Power Automate Premium (per-user),Power Automate,EA-5,No,PREMIUM_REQUIRED_FOR_HTTP,Tenant Evidence (Batch 2),HTTP connector is Premium; all other EA-5 connectors are Standard; Premium not needed for EA-5,Yes — licensing,Yes — per-user plan,$0 if avoided (confirmed — no Premium connectors in EA-5 scope),Maintain Standard-only architecture; Premium license not required,Architecture validated: all 5 canonical WF use Standard connectors only
