SharePointLibrary,SharePointDisplayName,SharePointInternalName,SharePointType,RegistryDisplayName,RegistryInternalName,RegistryType,MappingMode,TransformRule,Required,PublicExport,Notes
All,DocumentID,RAE_DocumentID,Single line of text,Document ID,RAE_DocumentID,Single line of text,DIRECT,As-is; pattern RAE-NNNNN,Yes,Yes,Canonical identifier; Registry uses same internal name
All,Title,Title,Single line of text (built-in),Title,RAE_Title,Single line of text,DIRECT,As-is; derivation: manifest Title -> link_text -> original_filename -> path stem,Yes,Yes,Registry adds RAE_Title internal name (non-built-in)
All,Category,RAE_Category,Single line of text,Category,RAE_Category,Choice,DIRECT,Map taxonomy slug to Choice values; SharePoint free text -> Registry choice list,Yes,Yes,SharePoint stores slug text; Registry uses Choice column limited to taxonomy values
All,Subcategory,RAE_Subcategory,Single line of text,Subcategory,RAE_Subcategory,Single line of text,DIRECT,As-is; Thai subcategory name from manifest,No,Yes,Optional in registry; populated from manifest
All,Owner,RAE_Owner,Single line of text,Owner,RAE_Owner,Person or Group,TRANSFORM,SharePoint text -> Registry Person/Group column. TBD is NOT valid in Registry.,Yes,Yes,Registry uses native Person/Group column for governance. TBD only allowed in SharePoint during migration.
All,DocumentStatus,RAE_DocumentStatus,Choice,Status,RAE_Status,Choice,TRANSFORM,SharePoint values (LegacyImported/Draft/Current/Obsolete/Archived/MetadataOnly) map to canonical registry vocabulary: draft/review/approved/published/current/obsolete/archived. Migration conditions use SourceSystem and MigrationStatus.,Yes,Yes,"See lifecycle-model.md for mapping. LegacyImported and MetadataOnly are NOT lifecycle Status values."
All,Version,RAE_Version,Single line of text,Version,RAE_Version,Single line of text,DIRECT,As-is; semantic version {major}.{minor},No,Yes,Optional field; default 1.0
All,UpdatedDate,RAE_UpdatedDate,Date and Time (date only),Updated Date,RAE_UpdatedDate,Date and Time (date only),DIRECT,As-is; YYYY-MM-DD format,Yes,Yes,CORE field
All,Tags,RAE_Tags,Managed Metadata,Tags,RAE_Tags,Single line of text,TRANSFORM,SharePoint Managed Metadata -> Registry semicolon-separated text. Lossy: hierarchy not preserved.,No,Yes,Registry cannot use Managed Metadata natively. Text column with semicolon delimiters.
All,PublicVisibility,RAE_PublicVisibility,Choice,Visibility,RAE_Visibility,Choice,TRANSFORM,SharePoint values (PendingReview/Public/Internal/Restricted) map to canonical registry vocabulary: public/internal/restricted/private.,Yes,Yes,"PendingReview is NOT a registry Visibility. Documents awaiting review use Status=review + Visibility=internal."
All,LegacySourceURL,RAE_LegacySourceURL,Hyperlink or Picture,Legacy Source URL,RAE_LegacySourceURL,Hyperlink,DIRECT,As-is; original WTMS URL may be dead link,No,No,Dead/internal URL preserved for traceability only; not publicly exported
All,Notes,RAE_Notes,Multiple lines of text (plain text),Notes,RAE_Notes,Multiple lines of text,DIRECT,As-is; free text max 1000 chars,No,No,Internal governance notes; NOT public export
All,DuplicateOf,RAE_DuplicateOf,Single line of text,Duplicate Of,RAE_DuplicateOf,Single line of text,DIRECT,As-is; references primary DocumentID,No,No,Integration field for 45 duplicate-linked migration records
All,SHA256,RAE_SHA256,Single line of text,(not in registry),(not in registry),(not in registry),SHAREPOINT_ONLY,Not mapped; file integrity field has no registry purpose,No,No,SharePoint-only field. Registry does not need file hash.
All,MigrationStatus,RAE_MigrationStatus,Choice,(not in registry),(not in registry),(not in registry),SHAREPOINT_ONLY,Not mapped; migration tracking field has no registry purpose,No,No,SharePoint-only field. Migration status is not operational governance metadata.
Registry,Description,(not in SharePoint),N/A,Description,RAE_Description,Multiple lines of text (plain text),REGISTRY_ONLY,New field added in EA-4 for discovery quality,No,Yes,No equivalent in EA-3 schema. Added for registry search/discovery.
Registry,Audience,(not in SharePoint),N/A,Audience,RAE_Audience,Choice (multi-select),REGISTRY_ONLY,New field added in EA-4 for targeting,No,Yes,Optional discovery field; no SharePoint equivalent
Registry,Department,(not in SharePoint),N/A,Department,RAE_Department,Single line of text,REGISTRY_ONLY,Derived from Category owner_group in taxonomy,No,Yes,Derived from taxonomy data; no direct SharePoint equivalent
Registry,ReviewDate,(not in SharePoint),N/A,Review Date,RAE_ReviewDate,Date and Time (date only),REGISTRY_ONLY,New field for governance review tracking,No,No,Governance-only field; not publicly exported
Registry,PublishedDate,(not in SharePoint),N/A,Published Date,RAE_PublishedDate,Date and Time (date only),REGISTRY_ONLY,Populated when Status transitions to Published/Current,No,Yes,Populated by governance workflow (Phase M365-5)
Registry,RelatedDocuments,(not in SharePoint),N/A,Related Documents,RAE_RelatedDocuments,Single line of text,REGISTRY_ONLY,Comma-separated DocumentIDs of related records,No,Yes,Registry-only relationship field
Registry,SourceSystem,(not in SharePoint),N/A,Source System,RAE_SourceSystem,Choice,REGISTRY_ONLY,Set at record creation: WTMS Migration / Manual Entry / Power Automate / Bulk Import / Direct Upload,Yes,No,Governance field; distinguishes origin of registry record
Registry,RecordVersion,(not in SharePoint),N/A,Record Version,RAE_RecordVersion,Number,DEFERRED,Auto-incremented for sync change detection,No,No,Deferred to Phase M365-7. Used for incremental export.
ActiveOnly,ApprovalStatus,RAE_ApprovalStatus,Choice,(not in registry),(not in registry),(not in registry),SHAREPOINT_ONLY,Exclusive to RAE Active Document content type; not in Registry,No,No,SharePoint-only workflow field (Phase M365-5)
ActiveOnly,ReviewedBy,RAE_ReviewedBy,Person or Group,(not in registry),(not in registry),(not in registry),SHAREPOINT_ONLY,Exclusive to RAE Active Document content type; not in Registry,No,No,SharePoint-only workflow field (Phase M365-5)
ActiveOnly,ReviewDate,RAE_ReviewDate (SP),Date,(not in registry),(not in registry),(not in registry),SHAREPOINT_ONLY,Exclusive to RAE Active Document content type. Registry has its own ReviewDate.,No,No,SharePoint-only; not to be confused with Registry ReviewDate
