documentId,title,category,proposedFolder,proposedFilename,owner,migrationAction,currentStatus,storageUrlStatus,humanActionRequired,notes
RAE-DC-0001,แบบฟอร์มขออนุญาตเข้าร่วมอบรม ปี2569,admin,01-งานบริหารและธุรการ,RAE-DC-0001_แบบฟอร์มขออนุญาตเข้าร่วมอบรม_ปี2569_v1.0.docx,TBD,keep,current,pending,Assign owner; Upload to OneDrive; Create share link,Active form - update year annually
RAE-DC-0002,แบบฟอร์มรายงานผลการเข้าร่วมอบรม ปี2569,admin,01-งานบริหารและธุรการ,RAE-DC-0002_แบบฟอร์มรายงานผลการเข้าร่วมอบรม_ปี2569_v1.0.docx,TBD,keep,current,pending,Assign owner; Upload to OneDrive; Create share link,Active form - update year annually
RAE-DC-0003,แบบฟอร์มรายงานผลการนำความรู้ไปใช้ประโยชน์ในการปฏิบัติงาน ปี2569,admin,01-งานบริหารและธุรการ,RAE-DC-0003_แบบฟอร์มรายงานผลการนำความรู้ไปใช้ประโยชน์ในการปฏิบ_v1.0.docx,TBD,keep,current,pending,Assign owner; Upload to OneDrive; Create share link,Active form - update year annually
RAE-DC-0004,แบบแจ้งการลงเวลาปฏิบัติงาน (เข้า ออก เข้าและออก เข้าสาย ออกก่อน),admin,01-งานบริหารและธุรการ,RAE-DC-0004_แบบแจ้งการลงเวลาปฏิบัติงาน_(เข้า_ออก_เข้าและออก_เข_v1.0.pdf,TBD,keep,current,pending,Assign owner; Upload to OneDrive; Create share link,Available in PDF and WORD
RAE-DC-0004A,ใบนำส่งเอกสารเพื่อลงนาม,admin,01-งานบริหารและธุรการ,RAE-DC-0004A_ใบนำส่งเอกสารเพื่อลงนาม_v1.0.pdf,TBD,keep,current,pending,Assign owner; Upload to OneDrive; Create share link,Available in PDF and WORD
RAE-DC-0007,แบบคำขอมีบัตรประจำตัวบุคลากรดิจิทัล (Smart Card),admin,01-งานบริหารและธุรการ,RAE-DC-0007_แบบคำขอมีบัตรประจำตัวบุคลากรดิจิทัล_(Smart_Card)_v1.0.pdf,TBD,keep,current,pending,Assign owner; Upload to OneDrive; Create share link,PDF only
RAE-DC-0008,ขออนุมัติเดินทางไปปฏิบัติงาน ณ ต่างประเทศ (E-Passport/VISA),admin,01-งานบริหารและธุรการ,RAE-DC-0008_ขออนุมัติเดินทางไปปฏิบัติงาน_ณ_ต่างประเทศ_(E-Passp_v1.0.docx,TBD,keep,current,pending,Assign owner; Upload to OneDrive; Create share link,WORD only
RAE-DC-0009,ขออนุมัติเข้าร่วมโครงการฝึกอบรม,admin,01-งานบริหารและธุรการ,RAE-DC-0009_ขออนุมัติเข้าร่วมโครงการฝึกอบรม_v1.0.docx,TBD,keep,current,pending,Assign owner; Upload to OneDrive; Create share link,WORD only
RAE-DC-0010,รายงานผลการฝึกอบรม,admin,01-งานบริหารและธุรการ,RAE-DC-0010_รายงานผลการฝึกอบรม_v1.0.docx,TBD,keep,current,pending,Assign owner; Upload to OneDrive; Create share link,WORD only
RAE-DC-0011,สรุปผลที่ได้จากการไปฝึกอบรม ประชุมสัมมนา,admin,01-งานบริหารและธุรการ,RAE-DC-0011_สรุปผลที่ได้จากการไปฝึกอบรม_ประชุมสัมมนา_v1.0.docx,TBD,keep,current,pending,Assign owner; Upload to OneDrive; Create share link,WORD only
RAE-DC-0012,แบบฟอร์มคำร้องขอหนังสือรับรอง สำหรับลูกจ้างชั่วคราว (จ้างเหมา),admin,01-งานบริหารและธุรการ,RAE-DC-0012_แบบฟอร์มคำร้องขอหนังสือรับรอง_สำหรับลูกจ้างชั่วครา_v1.0.pdf,TBD,keep,current,pending,Assign owner; Upload to OneDrive; Create share link,Available in PDF and WORD
RAE-DC-0013,แบบฟอร์มลงเวลาปฏิบัติราชการ,admin,01-งานบริหารและธุรการ,RAE-DC-0013_แบบฟอร์มลงเวลาปฏิบัติราชการ_v1.0.pdf,TBD,keep,current,pending,Assign owner; Upload to OneDrive; Create share link,Available in PDF and WORD - may merge with RAE-DC-0004
RAE-DC-0014,ใบลาป่วย ลากิจ ลาคลอดบุตร,admin,01-งานบริหารและธุรการ,RAE-DC-0014_ใบลาป่วย_ลากิจ_ลาคลอดบุตร_v1.0.pdf,TBD,keep,current,pending,Assign owner; Upload to OneDrive; Create share link,Available in PDF and WORD
RAE-DC-0015,ใบลาพักผ่อน,admin,01-งานบริหารและธุรการ,RAE-DC-0015_ใบลาพักผ่อน_v1.0.pdf,TBD,keep,current,pending,Assign owner; Upload to OneDrive; Create share link,Available in PDF and WORD
RAE-DC-0016,ใบยกเลิกวันลา,admin,01-งานบริหารและธุรการ,RAE-DC-0016_ใบยกเลิกวันลา_v1.0.pdf,TBD,keep,current,pending,Assign owner; Upload to OneDrive; Create share link,Available in PDF and WORD
RAE-DC-0017,ใบลาศึกษาต่อ ฝึกอบรม ดูงาน,admin,01-งานบริหารและธุรการ,RAE-DC-0017_ใบลาศึกษาต่อ_ฝึกอบรม_ดูงาน_v1.0.docx,TBD,keep,current,pending,Assign owner; Upload to OneDrive; Create share link,WORD only
RAE-DC-0018,แบบหนังสือลาออกจากงานของพนักงานมหาวิทยาลัย,admin,01-งานบริหารและธุรการ,RAE-DC-0018_แบบหนังสือลาออกจากงานของพนักงานมหาวิทยาลัย_v1.0.pdf,TBD,keep,current,pending,Assign owner; Upload to OneDrive; Create share link,PDF only
RAE-DC-0019,แบบหนังสือลาออกจากงานของพนักงานราชการ,admin,01-งานบริหารและธุรการ,RAE-DC-0019_แบบหนังสือลาออกจากงานของพนักงานราชการ_v1.0.pdf,TBD,keep,current,pending,Assign owner; Upload to OneDrive; Create share link,PDF only
RAE-DC-0020,แบบหนังสือขอลาออกจากราชการ (พนักงานส่วนงานเฉพาะกิจ จ้างเหมา),admin,01-งานบริหารและธุรการ,RAE-DC-0020_แบบหนังสือขอลาออกจากราชการ_(พนักงานส่วนงานเฉพาะกิจ_v1.0.docx,TBD,keep,current,pending,Assign owner; Upload to OneDrive; Create share link,WORD only - review owner
RAE-DC-0021,แบบรายงานไปราชการ ดูงาน ประชุมสัมมนา ฝึกอบรม,admin,01-งานบริหารและธุรการ,RAE-DC-0021_แบบรายงานไปราชการ_ดูงาน_ประชุมสัมมนา_ฝึกอบรม_v1.0.docx,TBD,keep,current,pending,Assign owner; Upload to OneDrive; Create share link,WORD only
RAE-DC-0022,ประกาศ คกก. ก.บ.ม. เรื่อง วัน เวลาปฏิบัติงาน และวิธีลงเวลาปฏิบัติงาน พ.ศ.2564,admin,01-งานบริหารและธุรการ,RAE-DC-0022_ประกาศ_คกก._ก.บ.ม._เรื่อง_วัน_เวลาปฏิบัติงาน_และวิ_v1.0.pdf,TBD,review,current,pending,Assign owner; Upload to OneDrive; Create share link; Human review needed,Policy document - verify current validity
RAE-DC-0023,หลักเกณฑ์และวิธีการประเมินผลการปฏิบัติงานสำหรับบุคลากรสำนักวิจัยฯ ประจำปีงบประมาณ 2565,admin,01-งานบริหารและธุรการ,RAE-DC-0023_หลักเกณฑ์และวิธีการประเมินผลการปฏิบัติงานสำหรับบุค_v1.0.pdf,TBD,review,current,pending,Assign owner; Upload to OneDrive; Create share link; Human review needed,May be outdated - check for newer version
RAE-DC-0024,หลักเกณฑ์และวิธีการประเมินผลพฤติกรรมในการปฏิบัติงานสำหรับบุคลากรสำนักวิจัยฯ ประจำปีงบประมาณ 2565,admin,01-งานบริหารและธุรการ,RAE-DC-0024_หลักเกณฑ์และวิธีการประเมินผลพฤติกรรมในการปฏิบัติงา_v1.0.pdf,TBD,review,current,pending,Assign owner; Upload to OneDrive; Create share link; Human review needed,May be outdated - check for newer version
RAE-DC-0025,ระเบียบงานสารบรรณว่าด้วย ระบบสารบรรณอิเล็กทรอนิกส์,admin,01-งานบริหารและธุรการ,RAE-DC-0025_ระเบียบงานสารบรรณว่าด้วย_ระบบสารบรรณอิเล็กทรอนิกส์_v1.0.pdf,TBD,keep,current,pending,Assign owner; Upload to OneDrive; Create share link,Standing regulation
RAE-DC-0026,การใช้ตรามหาวิทยาลัยและข้อความต่างๆ ในหนังสือของมหาวิทยาลัย,admin,01-งานบริหารและธุรการ,RAE-DC-0026_การใช้ตรามหาวิทยาลัยและข้อความต่างๆ_ในหนังสือของมห_v1.0.pdf,TBD,keep,current,pending,Assign owner; Upload to OneDrive; Create share link,Brand usage guideline
